Month Landed,Port of Landing,Port NUTS 2 area,Port Nationality,Vessel Nationality,Length Group,Species,Species Group,Live weight (tonnes),Landed weight (tonnes),Value(£000s)
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.1177,0.1177,211.86
1,Aberdaran,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.0074,0.0074,152.7
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Crabs,Shellfish,2.248,2.248,5102.96
1,Aberdeen,North Eastern Scotland,Scotland,UK,10m&Under,Lobsters,Shellfish,0.007,0.007,134.76
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Crabs,Shellfish,5.369,5.369,12187.63
1,Aberdeen,North Eastern Scotland,Scotland,UK,Over10m,Lobsters,Shellfish,0.0493,0.0493,949.05
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Lobsters,Shellfish,0.0006,0.0006,8.4
1,Aberystwyth,West Wales and the Valleys,Wales,UK,10m&Under,Other Shellfish,Shellfish,0.066,0.066,1320
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Crabs,Shellfish,0.58,0.58,1571.32
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Lobsters,Shellfish,0.0466,0.0466,973.94
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Other Shellfish,Shellfish,0.1285,0.1285,2700
1,Aberystwyth,West Wales and the Valleys,Wales,UK,Over10m,Scallops,Shellfish,16.3235,16.3235,43745.41
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.684,0.684,1552.68
1,Achiltibuie,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,1.4283,1.4283,8580.21
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Crabs,Shellfish,0.9522,0.9522,2161.38
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,0.8074,0.8074,4852.49
1,Achiltibuie,Highlands and Islands,Scotland,UK,Over10m,Scallops,Shellfish,0.275,0.275,1100
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Bass,Demersal,0.0147,0.0141,141.69
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Crabs,Shellfish,0.0428,0.0428,85.36
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Lobsters,Shellfish,0.0394,0.0394,682.47
1,Aldeburgh and Orford,East Anglia,England,UK,10m&Under,Skates and Rays,Demersal,2.5382,2.1784,4412.88
1,Alderney,UK islands,Channel Islands,UK,Over10m,Crabs,Shellfish,2.4561,2.4561,6761.86
1,Alderney,UK islands,Channel Islands,UK,Over10m,Lobsters,Shellfish,0.2584,0.2584,5238.69
1,Alesund,Foreign,Norway,UK,Over10m,Horse Mackerel,Pelagic,111.5722,111.5722,89332.22
1,Alesund,Foreign,Norway,UK,Over10m,Mackerel,Pelagic,6388.312,6388.312,5874032
1,Alloa,Eastern Scotland,Scotland,UK,Over10m,Brill,Demersal,0.001,0.001,5.72
1,Alloa,Eastern Scotland,Scotland,UK,Over10m,Monks or Anglers,Demersal,0.0061,0.005,19.9
1,Alloa,Eastern Scotland,Scotland,UK,Over10m,Nephrops,Shellfish,1.0725,0.5225,2949.93
1,Alloa,Eastern Scotland,Scotland,UK,Over10m,Plaice,Demersal,0.0105,0.01,13.7
1,Alloa,Eastern Scotland,Scotland,UK,Over10m,Squid,Shellfish,0.001,0.001,4.03
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Brill,Demersal,0.0008,0.0007,2.31
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Cod,Demersal,0.1404,0.1203,180.42
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Crabs,Shellfish,9.9804,9.9804,12950.1
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Haddock,Demersal,0.0317,0.0275,55.36
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Halibut,Demersal,0.0259,0.0241,240.1
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lemon Sole,Demersal,0.0112,0.0106,15.6
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Lobsters,Shellfish,0.7403,0.7403,15239.71
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Monks or Anglers,Demersal,0.0064,0.0052,10.92
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Mullet,Demersal,0.0013,0.0013,4.38
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Plaice,Demersal,0.0202,0.0193,19.72
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Sole,Demersal,0.0018,0.0018,9.35
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Squid,Shellfish,0.011,0.011,45.44
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Turbot,Demersal,0.0043,0.0041,17
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Whiting,Demersal,0.0193,0.017,17.07
1,Amble,Northumberland and Tyne and Wear,England,UK,10m&Under,Witch,Demersal,0.0002,0.0002,0.23
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Brill,Demersal,0.001,0.001,4
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Cod,Demersal,0.1308,0.1119,130.79
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Crabs,Shellfish,4.9468,4.9468,6377.71
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Gurnard,Demersal,0.0219,0.0219,39
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Haddock,Demersal,0.1028,0.0879,91.92
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Hake,Demersal,0.0033,0.003,4.5
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Halibut,Demersal,0.0806,0.0748,777.26
1,Amble,Northumberland and Tyne and Wear,England,UK,Over10m,Lemon Sole,Demersal,0.0208,0.0199,21.4
